"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"1871";"2020 Bulkers";"Norge";"2020";"Industri";"3098,8";"10,1";"-0,2";"0,79";"2,0";"10,5";"6,1";"8,6";"19,9%";"23,4%";"79,4%";"58,2%";"46,8%";"5";"2,2";"-6,1%";"2,0";"-6,6%";"-10,7%";"4,7%"
"1550";"2cureX";"Sverige";"2CUREX";"Hälsovård";"31,6";"-12,1";;"3,82";"-878,6";"-10,6";;"-33,6";;;;;;"1";"1,0";"-100,0%";;"71,7%";"-39,4%";"248,1%"
"1435";"36 Group";"Sverige";"36GRP";"Sällanköpsvaror";"5,6";"-0,3";;"0,69";"0,2";"-0,3";"0,4";"-29,0";"-48,8%";"-44,7%";"81,5%";"-117,1%";"-130,3%";"3";"1,2";"81,0%";;"-30,6%";"-82,2%";"-87,1%"
"2396";"4C Group";"Sverige";"4C";"Informationsteknik";"314,6";"-18,7";;"0,64";"1,2";"50,6";"1,2";"-3,5";"-6,2%";"-5,6%";"76,3%";"2,4%";"-4,8%";"1";"1,1";"2,1%";"2,3";"-35,3%";"-45,2%";"-48,0%"
"1165";"5th Planet Games";"Norge";"5PG";"Sällanköpsvaror";"369,0";"87,6";"0,3";"1,07";"3,1";"-31,2";"56,6";"-15,9";"3,6%";"4,0%";"52,8%";"-181,3%";"66,8%";"2";"4,3";"-26,0%";;"64,8%";"85,9%";"47,7%"
"889";"A.P. Moller Maersk B";"Danmark";"MAERSK B";"Industri";"442481,9";"16,2";"-0,3";"0,98";"0,8";"10,0";"0,6";"4,5";"4,8%";"4,2%";"17,7%";"6,5%";"5,0%";"4";"2,1";"-12,8%";"-1,1";"28,2%";"42,3%";"50,6%"
"1398";"AAC Clyde Space";"Sverige";"AAC";"Informationsteknik";"904,0";"-15,4";;"0,84";"1,2";"-20,6";"2,8";"-7,5";"-6,5%";"-6,5%";"86,9%";"-13,5%";"-15,6%";"1";"0,9";"14,5%";"-0,4";"33,9%";"5,4%";"41,4%"
"2";"AAK";"Sverige";"AAK";"Dagligvaror";"59405,6";"17,3";"-5,2";"0,46";"3,0";"13,4";"1,4";"-137,1";"17,2%";"16,9%";"26,3%";"10,2%";"7,5%";"7";"2,0";"-3,0%";"0,6";"-13,7%";"-8,9%";"-19,3%"
"1213";"Aalborg Boldspilklub";"Danmark";"AAB";"Sällanköpsvaror";"111,5";"7,6";"0,1";"0,06";"0,7";"4,0";"0,4";"-10,0";"9,6%";"13,8%";"34,2%";"9,5%";"8,2%";"3";"1,6";"-4,7%";"-1,4";"-3,5%";"-14,9%";"-8,1%"
"1833";"Aallon Group";"Finland";"AALLON";"Finans & Fastighet";"407,0";"15,2";"14,3";"0,39";"2,2";"14,0";"1,1";"-66,8";"14,0%";"10,4%";"89,7%";"7,5%";"5,8%";;"0,6";"10,6%";"0,9";"-12,5%";"-14,5%";"-9,5%"
"1181";"Aasen Sparebank";"Norge";"AASB";"Finans & Fastighet";"263,5";"11,4";"0,8";"0,03";"1,1";"8,1";"5,5";"-10,6";"9,2%";"1,2%";"97,0%";"67,4%";"52,6%";;;"13,2%";"-0,8";"9,6%";"18,8%";"14,7%"
"2481";"ABAS Protect";"Sverige";"ABAS";"Industri";"51,6";"-15,2";;"0,05";"1,4";"-34,0";"0,9";"-14,4";"-9,0%";"-5,2%";"43,6%";"-2,7%";"-3,8%";"1";"2,6";"-3,9%";"57,8";"-21,5%";"-25,1%";"-14,6%"
"3";"ABB";"Sverige";"ABB";"Industri";"1419802,0";"33,4";"1,9";"1,12";"9,5";"25,4";"4,6";"49,4";"27,4%";"19,1%";"41,1%";"18,2%";"13,7%";"7";"1,6";"4,1%";"0,2";"12,7%";"16,3%";"36,0%"
"1461";"Abelco Investment";"Sverige";"ABIG";"Finans & Fastighet";"6,9";"-0,9";;"0,03";"0,1";"-1,2";"4,4";"-0,3";"-15,9%";"-15,9%";"-207,5%";"-372,2%";"-524,8%";;"3,2";"-38,1%";;"0,0%";"-25,0%";"-40,0%"
"2079";"Abera Bioscience";"Sverige";"ABERA";"Hälsovård";"125,0";"-10,8";;"-0,13";"5,8";"-8,4";;"-30,5";"-54,2%";;;;;"1";"2,7";;;"-7,6%";"-21,8%";"2,0%"
"1034";"ABG Sundal Collier";"Norge";"ABG";"Finans & Fastighet";"4315,9";"11,5";"0,6";"0,34";"4,0";"7,4";"1,7";"22,1";"34,5%";"52,9%";"45,0%";"22,6%";"16,7%";;"1,2";"8,4%";"-1,0";"-3,5%";"13,8%";"13,3%"
"1040";"ABL Group";"Norge";"ABL";"Energi";"1552,9";"-26,6";;"0,38";"1,7";"52,7";"0,5";"26,3";"-6,3%";"-6,0%";"52,0%";"0,9%";"-1,6%";"4";"1,3";"28,3%";"1,0";"32,3%";"25,6%";"23,1%"
"437";"Absolent Air Care";"Sverige";"ABSO";"Industri";"2054,8";"29,3";"-0,6";"0,10";"2,2";"17,2";"1,7";"24,7";"7,5%";"6,3%";"42,7%";"10,2%";"5,5%";"5";"2,9";"-1,5%";"0,9";"-17,9%";"-17,1%";"-28,0%"
"1336";"Absolicon";"Sverige";"ABSL B";"Kraftförsörjning";"40,2";"-2,9";;"-0,26";"1,0";"-2,7";"32,2";"-3,4";"-33,6%";"-35,0%";"418,2%";"-1193,7%";"-1165,7%";"3";"3,3";"-34,5%";;"140,6%";"72,3%";"36,4%"
"1323";"AcadeMedia";"Sverige";"ACAD";"Industri";"9461,8";"11,7";"0,6";"0,38";"1,5";"12,0";"1,1";"3,0";"12,7%";"4,8%";"91,3%";"9,3%";"4,3%";"8";"0,4";"7,8%";"2,9";"2,2%";"-2,5%";"26,1%"
"1397";"Acarix";"Sverige";"ACARIX";"Hälsovård";"327,9";"-6,8";;"0,56";"8,6";"-6,4";"42,1";"-6,7";"-126,0%";"-241,7%";"84,7%";"-652,2%";"-653,3%";"1";"4,1";"8,1%";;"0,5%";"-8,0%";"2,9%"
"2198";"Acast";"Sverige";"ACAST";"Informationsteknik";"4871,8";"-43,1";;"0,60";"4,1";"-245,0";"1,8";"-89,4";"-9,5%";"-15,6%";"39,3%";"-0,7%";"-4,5%";"5";"1,7";"21,9%";"-6,3";"-21,9%";"47,0%";"71,7%"
